Sigla,Espectro Político,Posicionamento Ideológico
Republicanos,Direita,Conservador
PP,Centro-direita,Conservador
PT,Esquerda,Progressista
PDT,Centro-esquerda,Progressista
PTB,Extrema-direita,Conservador
MDB,Centro,Neutro
PSTU,Extrema-esquerda,Progressista
Rede,Centro-esquerda,Progressista
PODE,Centro-direita,Conservador
PSC,Extrema-direita,Conservador
PCB,Extrema-esquerda,Progressista
PL,Centro-direita,Conservador
Cidadania,Centro,Progressista
DC,Centro-direita,Conservador
PRTB,Extrema-direita,Conservador
PCO,Extrema-esquerda,Conservador
Novo,Direita,Conservador
MOBILIZA,Centro-direita,Conservador
PMB,Centro-direita,Feminismo Conservador
AGIR,Centro,Conservador
PSB,Centro-esquerda,Progressista
PV,Centro-esquerda,Progressista
União,Centro-direita,Conservador
PSDB,Centro,Neutro
PSOL,Esquerda,Progressista
PATRIOTA,Direita,Conservador
PSD,Centro,Neutro
PCdoB,Esquerda,Progressista
Avante,Centro,Conservador
Solidariedade,Centro-esquerda,Progressista
UP,Extrema-esquerda,Progressista
PRD,Direita,Conservador
